	label	inflorescence	taille	forme 	couleur	motif	nombre_serie	longueur_filet	syndrome
Passiflora_haematostigma_DQ123305	Passiflora_haematostigma_DQ123305	0	0	0	0	0	0	0	3
Passiflora_haematostigma_KM652399	Passiflora_haematostigma_KM652399	0	0	0	0	0	0	0	3
Passiflora_hatschbachii_HQ900863	Passiflora_hatschbachii_HQ900863	?	1	0	0	1	0	0	0
Passiflora_helleri_DQ123314	Passiflora_helleri_DQ123314	0	0	0	0	1	0	0	0
Passiflora_herbertiana_KM895950	Passiflora_herbertiana_KM895950	?	0	0	3	0	0	0	1
Passiflora_incarnata_GQ248664	Passiflora_incarnata_GQ248664	?	0	0	1	1	1	1	0
Passiflora_incarnata_HG765071	Passiflora_incarnata_HG765071	?	0	0	1	1	1	1	0
Passiflora_incarnata_HQ900864	Passiflora_incarnata_HQ900864	?	0	0	1	1	1	1	0
Passiflora_ischnoclada_HQ900866	Passiflora_ischnoclada_HQ900866	0	1	0	2	0	0	0	1
Passiflora_jussieui_DQ123304	Passiflora_jussieui_DQ123304	?	0	1	0	1	0	1	0
Passiflora_kawensis_DQ123306	Passiflora_kawensis_DQ123306	0	0	1	2	0	0	0	2
Passiflora_kermesina_HQ900868	Passiflora_kermesina_HQ900868	0	1	1	2	0	0	0	2
Passiflora_kuranda_KF496451	Passiflora_kuranda_KF496451	1	0	0	0	0	0	1	3
Passiflora_lancetillensis_DQ123331	Passiflora_lancetillensis_DQ123331	?	0	0	0	0	0	1	3
Passiflora_laurifolia_KM652396	Passiflora_laurifolia_KM652396	0	0	0	1	1	1	1	0
Passiflora_leptoclada_HQ900869	Passiflora_leptoclada_HQ900869	1	0	0	0	0	0	1	3
Passiflora_ligularis_HQ900870	Passiflora_ligularis_HQ900870	0	1	0	1	1	1	1	0
Passiflora_lindeniana_DQ123307	Passiflora_lindeniana_DQ123307	?	0	0	0	0	0	0	3
Passiflora_lobbii_DQ123316	Passiflora_lobbii_DQ123316	?	0	0	0	1	0	1	0
Passiflora_loefgrenii_HQ900871	Passiflora_loefgrenii_HQ900871	0	1	0	1	1	1	0	0
Passiflora_luetzelburgii_DQ123384	Passiflora_luetzelburgii_DQ123384	0	0	1	2	0	0	0	2
Passiflora_lutea_DQ006111	Passiflora_lutea_DQ006111	0	0	0	0	0	0	1	3
Passiflora_macrophylla_DQ123308	Passiflora_macrophylla_DQ123308	?	0	1	0	0	0	0	2
